question_id,method,designed_to_favor,generated_answer,expected_answer,vector_hit_rate,graph_hit_rate,elapsed_seconds,rouge_l,cosine_sim
q10,vectorrag,vectorrag,Down syndrome,"Down syndrome (trisomy 21) -- the extra chromosome 21 copy means an extra APP gene copy, supporting the amyloid hypothesis.",1.0,,5.0559985637664795,0.1904761904761905,0.43898823857307434
q10,graphrag,vectorrag,Down Syndrome,"Down syndrome (trisomy 21) -- the extra chromosome 21 copy means an extra APP gene copy, supporting the amyloid hypothesis.",,1.0,2.81817364692688,0.1904761904761905,0.43898823857307434
q10,hybridrag,vectorrag,Down Syndrome,"Down syndrome (trisomy 21) -- the extra chromosome 21 copy means an extra APP gene copy, supporting the amyloid hypothesis.",1.0,1.0,7.586958885192871,0.1904761904761905,0.43898823857307434
q11,vectorrag,graphrag,Carrying the APOE4 allele increases Alzheimer's risk is more in women than in men.,"APOE e4 is the strongest genetic risk allele for AD, but its risk-raising effect is not sex-neutral: carrying APOE4 increases AD risk more in women than in men, consistent with broader findings that sex/gender modify AD risk-factor impact and cognitive resilience.",0.3333333333333333,,7.026077747344971,0.3333333333333333,0.7925795912742615
q11,graphrag,graphrag,Carrying the APOE epsilon-4 allele increases the risk risk of Alzheimer's's Disease more in women than than in men.,"APOE e4 is the strongest genetic risk allele for AD, but its risk-raising effect is not sex-neutral: carrying APOE4 increases AD risk more in women than in men, consistent with broader findings that sex/gender modify AD risk-factor impact and cognitive resilience.",,1.0,4.7970380783081055,0.29850746268656714,0.8052200675010681
q11,hybridrag,graphrag,Carrying the APOE4 raises AD risk risk more in women than in women.,"APOE e4 is the strongest genetic risk allele for AD, but its risk-raising effect is not sex-neutral: carrying APOE4 increases AD risk more in women than in men, consistent with broader findings that sex/gender modify AD risk-factor impact and cognitive resilience.",0.3333333333333333,1.0,9.391793251037598,0.31034482758620696,0.749644935131073
q12,vectorrag,graphrag,"Poor sleep is thought to contribute to dementia-related protein aggregation, it is thought to dementia-related by which chain of chain of events events by which by which poor sleep is is is to contribute to contribute to to dementia-related protein aggregation.","Sleep disturbance impairs the glymphatic system, the brain's waste-clearance pathway that is mostly active during sleep and which normally helps clear amyloid-beta and other aggregation-prone proteins; the glymphatic system also degrades with age, so impaired sleep plus aging compounds reduced clearance, contributing to protein aggregation and dementia onset.",1.0,,12.35958194732666,0.16666666666666669,0.5824885368347168
q12,graphrag,graphrag,"Poor sleep disturbances in sleep architecture can lead to the glymphatic system to the brain clearance activity, which is greatest during sleep. Poor sleep is thought to contribute to contribute to to dementia-related protein aggregation.","Sleep disturbance impairs the glymphatic system, the brain's waste-clearance pathway that is mostly active during sleep and which normally helps clear amyloid-beta and other aggregation-prone proteins; the glymphatic system also degrades with age, so impaired sleep plus aging compounds reduced clearance, contributing to protein aggregation and dementia onset.",,1.0,8.910152196884155,0.3636363636363637,0.8567822575569153
q12,hybridrag,graphrag,"Poor sleep disturbance of the glymphatic system's system's activity, which is greatest during sleep.","Sleep disturbance impairs the glymphatic system, the brain's waste-clearance pathway that is mostly active during sleep and which normally helps clear amyloid-beta and other aggregation-prone proteins; the glymphatic system also degrades with age, so impaired sleep plus aging compounds reduced clearance, contributing to protein aggregation and dementia onset.",1.0,1.0,10.455712080001831,0.2647058823529412,0.6355893611907959
q13,vectorrag,graphrag,"Microgliaia are the principal immunological cells of the central nervous system, serving as they are the tissue-resident macrophages of the brain; they are capable of recognizing and and taking up Aβ through multiple pattern recognition receptors, making them central amyloidloid clearance within brain. However, them are deleterious to neurological function, them are topographically associated with aberrant deposits of tau and beta within brain, even when each pathologic component occurs in distinct brain regions.","Microglia are the primary mediators of neuroinflammation in AD, and they directly interact with both amyloid-beta and tau pathology -- meaning microglial activity sits at the intersection of the amyloid-centric and neuroinflammation-centric explanations of disease progression, and evidence for the latter has weakened purely amyloid-centric models.",0.0,,18.870266675949097,0.16260162601626016,0.7097612023353577
q13,graphrag,graphrag,"Microgliaia connect the amyloid hypothesis and the neuroinflammation hypothesis of Alzheimer's Disease by physically interact with amyloid-beta deposits and tau pathology, influencing its spread and clearance.","Microglia are the primary mediators of neuroinflammation in AD, and they directly interact with both amyloid-beta and tau pathology -- meaning microglial activity sits at the intersection of the amyloid-centric and neuroinflammation-centric explanations of disease progression, and evidence for the latter has weakened purely amyloid-centric models.",,1.0,6.109554052352905,0.2597402597402597,0.8090258836746216
q13,hybridrag,graphrag,"Microgliaia are the principal immunological cells of the central nervous system, serving as the tissue-resident macrophages of the brain; they are capable of of and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and","Microglia are the primary mediators of neuroinflammation in AD, and they directly interact with both amyloid-beta and tau pathology -- meaning microglial activity sits at the intersection of the amyloid-centric and neuroinflammation-centric explanations of disease progression, and evidence for the latter has weakened purely amyloid-centric models.",0.0,1.0,17.88010573387146,0.09523809523809523,0.5102576017379761
q14,vectorrag,graphrag,"Down syndrome is considered a natural model supporting the amyloid cascade hypothesis because individuals with Down syndrome have an extra copy of chromosome 21, leading to an extra copy of the APP gene for APP, which is duplicated in an extra copy of the APP gene for, leading to increase production of APP, which increases the production of production of amyloid-beta (Aβ) peptides).","Down syndrome is caused by trisomy of chromosome 21; since the APP gene sits on chromosome 21, individuals with Down syndrome carry an extra APP gene copy, leading to greater APP expression and amyloid-beta production -- which is exactly the mechanism the amyloid cascade hypothesis proposes drives Alzheimer's pathology.",1.0,,14.073953628540039,0.3333333333333333,0.9350674748420715
q14,graphrag,graphrag,"Down syndrome is considered a natural model supporting the amyloid cascade hypothesis because it has an extra copy of chromosome 21, which leads to an extra copy of APP gene APP gene triplication in Down syndrome. This extra APP triplication in Down syndrome is a key line of evidence for the amyloid hypothesis.","Down syndrome is caused by trisomy of chromosome 21; since the APP gene sits on chromosome 21, individuals with Down syndrome carry an extra APP gene copy, leading to greater APP expression and amyloid-beta production -- which is exactly the mechanism the amyloid cascade hypothesis proposes drives Alzheimer's pathology.",,0.8,10.075948476791382,0.3106796116504854,0.9136461019515991
q14,hybridrag,graphrag,"Down syndrome is considered a natural model supporting the amyloid cascade hypothesis, tracing the full genetic toolecular chain due to the extra copy of chromosome 21 and an extra copy of the APP gene for the APP.","Down syndrome is caused by trisomy of chromosome 21; since the APP gene sits on chromosome 21, individuals with Down syndrome carry an extra APP gene copy, leading to greater APP expression and amyloid-beta production -- which is exactly the mechanism the amyloid cascade hypothesis proposes drives Alzheimer's pathology.",1.0,0.8,13.521694898605347,0.2528735632183908,0.8447490930557251
q15,vectorrag,graphrag,"Vascular risk factors, vascular risk factors, vascular dementia, and mixed dementia are related to Alzheimer's disease.","Cardiovascular/vascular risk factors raise the risk of vascular dementia; vascular dementia frequently co-occurs with Alzheimer's disease as 'mixed dementia,' which is in fact the most common mixed-dementia presentation -- so managing vascular risk is relevant to both pure vascular dementia and AD-vascular comorbidity.",0.5,,8.379994869232178,0.3125,0.8596898317337036
q15,graphrag,graphrag,"Vascular risk factors, vascular dementia, and mixed dementia are primary drivers of vascular dementia, and vascular dementia. Alzheimer's disease is frequently diagnosed alongside vascular dementia as mixed dementia. Alzheimer disease is biologically defined by beta-amyloid plaques together with neuro neurofibrillary tangles.","Cardiovascular/vascular risk factors raise the risk of vascular dementia; vascular dementia frequently co-occurs with Alzheimer's disease as 'mixed dementia,' which is in fact the most common mixed-dementia presentation -- so managing vascular risk is relevant to both pure vascular dementia and AD-vascular comorbidity.",,1.0,8.911241292953491,0.3333333333333333,0.8842134475708008
q15,hybridrag,graphrag,"Vascular risk factors, vascular risk factors, and vascular dementia, and mixed dementia are all contribute to Alzheimer's disease.","Cardiovascular/vascular risk factors raise the risk of vascular dementia; vascular dementia frequently co-occurs with Alzheimer's disease as 'mixed dementia,' which is in fact the most common mixed-dementia presentation -- so managing vascular risk is relevant to both pure vascular dementia and AD-vascular comorbidity.",0.5,1.0,11.134549617767334,0.30303030303030304,0.8674996495246887
q16,vectorrag,graphrag,"APOE genotype influences Alzheimer's pathology through three distinct biological mechanisms: 1) promoting the breakdown of reelin signaling, 2) the of inflammation and oxidation, and 3) the of inflammation.","Beyond its originally described role in amyloid-beta aggregation and clearance, APOE genotype is now linked to (1) tau neurofibrillary degeneration, (2) microglia and astrocyte inflammatory responses, and (3) blood-brain barrier disruption.",1.0,,10.978721380233765,0.22580645161290322,0.6880154013633728
q16,graphrag,graphrag,"APO.E genotype influences Alzheimer's pathology through three distinct biological mechanisms: 
1. 1) APOE epsilon-4 allele shapes microglial and astrocyte inflammatory responses in AD.2) 2 AE epsilon epsilon-2 allele shapes microglia and astrocytete inflammatory responses in AD.3 3 33E epsilon epsilon-2 allele shapes microglia andte andte responses AD","Beyond its originally described role in amyloid-beta aggregation and clearance, APOE genotype is now linked to (1) tau neurofibrillary degeneration, (2) microglia and astrocyte inflammatory responses, and (3) blood-brain barrier disruption.",,1.0,14.095510244369507,0.20689655172413793,0.7089390754699707
q16,hybridrag,graphrag,APOE genotype shapes microglial and astrocyte inflammatory responses in AD. APOE also shapes microglia and astrocyte responses in AD.,"Beyond its originally described role in amyloid-beta aggregation and clearance, APOE genotype is now linked to (1) tau neurofibrillary degeneration, (2) microglia and astrocyte inflammatory responses, and (3) blood-brain barrier disruption.",1.0,1.0,11.331419229507446,0.2692307692307693,0.6591777205467224
q17,vectorrag,graphrag,"Mild cognitive impairment (MCI) is a risk factor for dementia, and Alzheimer's disease. Biomarkers used to track its progression: low levels of amyloid and increased tau proteins in CSF, ApoE4 positivity, scores on cognitive tests like paired associates immediate recall test and symbol substitution test, increased tau protein in CSF, and measurements of right entororinal thickness and measurements of right entorhinal cortex right hippocampal volume on MRI.","Amnestic MCI is frequently a prodromal stage of Alzheimer's disease, converting to probable AD at roughly 10-15% per year; a low plasma Abeta42/40 ratio can strongly support an AD diagnosis even at the MCI/early-dementia stage, and structural MRI can track progressive gray-matter loss as MCI converts toward full AD dementia.",0.5,,16.990761518478394,0.16129032258064516,0.8044435381889343
q17,graphrag,graphrag,Mild Cognitive Imp (MCI) is a stage of the prodromal stage of Alzheimer's disease (AD) disease) and the biomarkers used to track its progression.,"Amnestic MCI is frequently a prodromal stage of Alzheimer's disease, converting to probable AD at roughly 10-15% per year; a low plasma Abeta42/40 ratio can strongly support an AD diagnosis even at the MCI/early-dementia stage, and structural MRI can track progressive gray-matter loss as MCI converts toward full AD dementia.",,1.0,7.5034003257751465,0.32098765432098764,0.8562952876091003
q17,hybridrag,graphrag,Mild cognitive impairment (MCI) is a stage of Alzheimer's disease. Biomarkers used to track its progression: low levels of amyloid and increased tau proteins in CSF are potential biomarkers although they are not specific to AD. Combining various variables such as ApoE4 positivity scores on cognitive tests like the paired associates immediate recall test and symbol symbol substitution test increased tau protein in CSF measurements of right entorhinal cortex thickness and right hippocampal volume on MRI can help predict progression to MCI from this preclinical stage. Mild Cognitive Impairment impairment,"Amnestic MCI is frequently a prodromal stage of Alzheimer's disease, converting to probable AD at roughly 10-15% per year; a low plasma Abeta42/40 ratio can strongly support an AD diagnosis even at the MCI/early-dementia stage, and structural MRI can track progressive gray-matter loss as MCI converts toward full AD dementia.",0.5,1.0,23.710129022598267,0.23129251700680273,0.827710747718811
q18,vectorrag,graphrag,"Cholinesterase inhibitors are approved for treating AD, such as donepezil, rivastigmine, andantamine, and memantineut, are approved treating AD such as well. Cholinesterase inhibitors are approved treating, AD as. Cholinesterase inhibitors approved, as. Cholinesterase inhibitors, as Cholinesterase inhibitors, Cholinesterase inhibitors, Cholinasease inhibitors Cholinesterase inhibitors, Cholinasease, Cholinasease, Cholinasease, Cholinasease, Cholinase,olinaseolinolinaseolinolinolinolinolinaseolinolinolin","In established AD, cholinesterase inhibitors (donepezil, rivastigmine, galantamine) are the main symptomatic drug class, with roughly similar and mild efficacy. In MCI specifically, results are weaker: donepezil showed only minor, short-term benefit with notable side effects, and rivastigmine failed to stop or slow progression to Alzheimer's disease at all.",0.5,,22.577901601791382,0.12,0.7462700009346008
q18,graphrag,graphrag,"Cholinesteresterase inhibitors are primarily treatable for Alzheimer's Disease (AD) and mild cognitive impairment (MCI) and early dementia. Cholinesterase inhibitors are the main class of drugs used for symptomatic AD treatment. Cholinesterase inhibitors block acetylcholine breakdown, raising synaptic acetylcholine levels. Cholinesterase inhibitors are the main class of drugs used for symptomatic AD treatment Cholin.","In established AD, cholinesterase inhibitors (donepezil, rivastigmine, galantamine) are the main symptomatic drug class, with roughly similar and mild efficacy. In MCI specifically, results are weaker: donepezil showed only minor, short-term benefit with notable side effects, and rivastigmine failed to stop or slow progression to Alzheimer's disease at all.",,1.0,15.117863178253174,0.1523809523809524,0.7857035398483276
q18,hybridrag,graphrag,"Cholinesterase inhibitors are the main class of drugs used for treating AD, and are the main class of drugs used for symptomatic AD treatment of AD. Cholinesterase inhibitors function by increasing the levels of acetylcholineoline, a neurotransmitter that plays role in nerve cell communication and is involved in learning memory memory and cognitive functions. Within this category  this 3 drugs have received FDA approval for treating AD: donepezil, , , .","In established AD, cholinesterase inhibitors (donepezil, rivastigmine, galantamine) are the main symptomatic drug class, with roughly similar and mild efficacy. In MCI specifically, results are weaker: donepezil showed only minor, short-term benefit with notable side effects, and rivastigmine failed to stop or slow progression to Alzheimer's disease at all.",0.5,1.0,20.595027685165405,0.1680672268907563,0.7889813184738159
q19,vectorrag,graphrag,"Physical activity, cognitive exercises, higher education and attainment, cognitive and in, and activities, and, and, and and, and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and and","All three are modifiable, non-genetic environmental/lifestyle factors that epidemiological studies have linked to Alzheimer's risk: physical activity is protective (lower AD and all-cause dementia incidence), while air pollution (fine particulate matter) and vascular/cardiovascular risk factors both raise AD and dementia risk -- making all three candidate targets for AD prevention strategies.",0.6666666666666666,,15.422817945480347,0.056179775280898875,0.3291334807872772
q19,graphrag,graphrag,"Physical activity, air pollution, and risk factors are all contribute to Alzheimer's risk.","All three are modifiable, non-genetic environmental/lifestyle factors that epidemiological studies have linked to Alzheimer's risk: physical activity is protective (lower AD and all-cause dementia incidence), while air pollution (fine particulate matter) and vascular/cardiovascular risk factors both raise AD and dementia risk -- making all three candidate targets for AD prevention strategies.",,1.0,4.516820430755615,0.23188405797101444,0.7478755116462708
q19,hybridrag,graphrag,Physical activity is a protective factor for for dementia and Alzheimer's disease vascular risk factors are the primary drivers of vascular disease vascular risk.,"All three are modifiable, non-genetic environmental/lifestyle factors that epidemiological studies have linked to Alzheimer's risk: physical activity is protective (lower AD and all-cause dementia incidence), while air pollution (fine particulate matter) and vascular/cardiovascular risk factors both raise AD and dementia risk -- making all three candidate targets for AD prevention strategies.",0.6666666666666666,1.0,11.337153911590576,0.25000000000000006,0.7007385492324829
q20,vectorrag,graphrag,"The economic burden of Alzheimer's disease (AD) has become one of the most prevalent neurodegenerative disorders among the elderly. The global cost of dementia is expected to reach US $2 trillion in 20300. In this systematic review, existing evidence on the cost economic burden of AD up to August 202. The risk of bias in the studies was assessed using Consolidated Health Economic Evaluation Reporting Standards 202222 criteria.","Indirect caregiving cost (lost productivity, unpaid family care) is the main contributor to AD's overall societal cost. When formal caregiving accommodation (e.g. a care facility) is used instead, costs shift from indirect cost to direct nonmedical cost, and formal accommodation can raise direct costs to as much as 67.3% of the overall economic burden.",1.0,,13.476598978042603,0.15873015873015875,0.5540484189987183
q20,graphrag,graphrag,The economic burden of Alzheimer's disease is projected to reach roughly $2 trillion by 20300 by 2030. (source: pubmed_379724428). Indirect caregiving cost is the main driver of AD's overall societal economic burden. (source: pubmed_37972828).,"Indirect caregiving cost (lost productivity, unpaid family care) is the main contributor to AD's overall societal cost. When formal caregiving accommodation (e.g. a care facility) is used instead, costs shift from indirect cost to direct nonmedical cost, and formal accommodation can raise direct costs to as much as 67.3% of the overall economic burden.",,1.0,9.180216073989868,0.2526315789473684,0.701757550239563
q20,hybridrag,graphrag,The economic burden of Alzheimer's disease is significantly increases with caregiving arrangements. The economic burden of AD is increased with indirect caregiving cost.,"Indirect caregiving cost (lost productivity, unpaid family care) is the main contributor to AD's overall societal cost. When formal caregiving accommodation (e.g. a care facility) is used instead, costs shift from indirect cost to direct nonmedical cost, and formal accommodation can raise direct costs to as much as 67.3% of the overall economic burden.",1.0,1.0,11.130815267562866,0.14814814814814814,0.8448740839958191
q21,vectorrag,hybridrag,"Cholinesterase inhibitors, memantine, and anti-amyloid monoclonal antibodies for Alzheimer's disease. Cholinesterase inhibitors increase acetylcholinesterase, cholinesterase inhibitors function by increasing the levels of acetylcholine, a neurotransmitter that plays a neurotransmitter that plays role in nerve cell communication and involved in learning memory, memory, and cognitive functions. Within this category, 3 drugs have received FDA approval for treating AD: donepezil, rivastigmine, and galantamine.","Cholinesterase inhibitors (donepezil, rivastigmine, galantamine) are purely symptomatic: they raise synaptic acetylcholine and produce mild, possibly non-clinically-significant benefit. Memantine is also symptomatic, blocking NMDA receptor overstimulation by glutamate, and reduced clinical deterioration in moderate-to-severe AD in trials. Anti-amyloid monoclonal antibodies (lecanemab, aducanumab) are disease-modifying: they directly clear brain amyloid plaque and produced roughly 30% slowing of cognitive decline in trials, but carry a distinct risk -- ARIA (brain edema/microhemorrhage) -- not seen with the older symptomatic drug classes.",0.5,,18.33841586112976,0.1643835616438356,0.8042292594909668
q21,graphrag,hybridrag,"Cholinesterase inhibitors, memantine, and anti-amyloid monoclonal antibodies are used for treating Alzheimer's disease. Cholinesterase inhibitors increase acetylcholine, memantine reduce amyloid plaques, and amyloid-related imaging abnormalities (ARIA) and cognitive decline.","Cholinesterase inhibitors (donepezil, rivastigmine, galantamine) are purely symptomatic: they raise synaptic acetylcholine and produce mild, possibly non-clinically-significant benefit. Memantine is also symptomatic, blocking NMDA receptor overstimulation by glutamate, and reduced clinical deterioration in moderate-to-severe AD in trials. Anti-amyloid monoclonal antibodies (lecanemab, aducanumab) are disease-modifying: they directly clear brain amyloid plaque and produced roughly 30% slowing of cognitive decline in trials, but carry a distinct risk -- ARIA (brain edema/microhemorrhage) -- not seen with the older symptomatic drug classes.",,1.0,10.12451982498169,0.2608695652173913,0.8074305057525635
q21,hybridrag,hybridrag,"Cholinesterase inhibitors, memantine, and anti-amyloid monoclonal antibodies for Alzheimer's disease. Cholinesterase inhibitors function by increasing the levels of acetylcholineoline, a neurotransmitter that plays a role in nerve cell communication and is involved in memory and cognitive functions. Within this category 3 drugs have received FDA approval for treating AD: donepezil, rivastigmine, andantagonistamine (NMDA) antagonist memantineut. Memantine. Memut Mem.ut Mem.utut. Memutututut Memututut.utut Memututututututut","Cholinesterase inhibitors (donepezil, rivastigmine, galantamine) are purely symptomatic: they raise synaptic acetylcholine and produce mild, possibly non-clinically-significant benefit. Memantine is also symptomatic, blocking NMDA receptor overstimulation by glutamate, and reduced clinical deterioration in moderate-to-severe AD in trials. Anti-amyloid monoclonal antibodies (lecanemab, aducanumab) are disease-modifying: they directly clear brain amyloid plaque and produced roughly 30% slowing of cognitive decline in trials, but carry a distinct risk -- ARIA (brain edema/microhemorrhage) -- not seen with the older symptomatic drug classes.",0.5,1.0,23.027713298797607,0.16,0.8237231969833374
