:START_ID,:END_ID,:TYPE,source_articles,evidence
APOE_e4,AD,STRONGEST_GENETIC_RISK_FACTOR_FOR,pubmed_33340485,APOE epsilon-4 remains the strongest genetic risk factor for sporadic AD after large GWAS meta-analyses.
APOE_e2,AD,PROTECTIVE_FACTOR_FOR,pubmed_33340485,APOE epsilon-2 is the strongest known genetic protective factor against AD.
APOE,AmyloidBeta,INTERACTS_WITH,pubmed_33340485,APOE was first linked to AD via its effect on amyloid-beta aggregation and clearance.
APOE,TauProtein,INTERACTS_WITH,pubmed_33340485,APOE research has expanded to include effects on tau neurofibrillary degeneration.
APOE,Microglia,MODULATES,pubmed_33340485,APOE genotype shapes microglial and astrocyte inflammatory responses in AD.
APOE_e4,SexDifferences,RISK_MODIFIED_BY,wikipedia_apolipoprotein_e,Carrying APOE4 raises AD risk more in women than in men.
SexDifferences,AD,MODIFIES_RISK_OF,pubmed_38967222,"Sex and gender jointly shape AD risk-factor prevalence, pathology burden, and cognitive resilience."
FamilyHistory,AD,RISK_FACTOR_FOR,textbook_statpearls_alzheimer_disease,A first-degree relative with AD raises personal risk by roughly 10-30%.
Aging,AD,RISK_FACTOR_FOR,pubmed_21371747;wikipedia_dementia,Aging is the greatest single risk factor for AD and dementia generally.
Aging,GlymphaticSystem,DEGRADES,pubmed_33004510,Glymphatic clearance efficiency declines with age.
SleepDisturbance,Dementia,PRECEDES_ONSET_OF,pubmed_33004510,Disrupted sleep architecture frequently precedes clinical dementia onset.
SleepDisturbance,GlymphaticSystem,IMPAIRS,pubmed_33004510,"Poor sleep reduces the glymphatic system's brain-clearance activity, which is greatest during sleep."
GlymphaticSystem,AmyloidBeta,CLEARS,pubmed_33004510,The glymphatic system is a proposed clearance route for amyloid-beta and other aggregation-prone proteins.
PhysicalActivity,AD,PROTECTIVE_FACTOR_FOR,pubmed_35301183,Meta-analysis found physical activity associated with a meaningfully lower AD incidence.
PhysicalActivity,Dementia,PROTECTIVE_FACTOR_FOR,pubmed_35301183,Physical activity is also associated with lower all-cause and vascular dementia incidence.
CardiovascularRisk,VascularDementia,RISK_FACTOR_FOR,pubmed_39889875;wikipedia_dementia,Vascular and cardiovascular risk factors are the primary drivers of vascular dementia.
CardiovascularRisk,AD,RISK_FACTOR_FOR,pubmed_34101789,Vascular risk factors are among the modifiable contributors to AD risk.
AirPollution,AD,RISK_FACTOR_FOR,pubmed_39889875,Fine particulate matter and related pollutants were associated with higher AD dementia risk in an umbrella review.
AirPollution,VascularDementia,RISK_FACTOR_FOR,pubmed_39889875,Fine particulate matter and chronic noise were associated with higher vascular dementia risk.
VascularDementia,AD,COMORBID_WITH,wikipedia_dementia,AD is frequently diagnosed alongside vascular dementia as mixed dementia.
MixedDementia,AD,COMBINES,wikipedia_dementia,The most common mixed-dementia presentation combines AD with vascular dementia.
MixedDementia,VascularDementia,COMBINES,wikipedia_dementia,The most common mixed-dementia presentation combines AD with vascular dementia.
AD,Dementia,SUBTYPE_OF,wikipedia_dementia,AD accounts for roughly 60-70% of all dementia cases worldwide.
VascularDementia,Dementia,SUBTYPE_OF,wikipedia_dementia,Vascular dementia is the second most common dementia subtype.
MCI,AD,PRODROMAL_STAGE_OF,wikipedia_mild_cognitive_impairment,Amnestic MCI is frequently a prodromal stage that converts to AD at roughly 10-15% per year.
Hippocampus,AD,ATROPHIES_IN,pubmed_26827786,Hippocampal volumetry and atrophy tracking are established outcome markers in AD research.
Hippocampus,MemoryLoss,SUPPORTS_FUNCTION_OF,wikipedia_alzheimers_disease,"AD targets the hippocampus, the brain region responsible for memory formation."
MRIAtrophy,Hippocampus,MEASURES,pubmed_26827786,Structural MRI is the primary tool for quantifying hippocampal and cortical atrophy in AD.
MRIAtrophy,AD,BIOMARKER_FOR,pubmed_26921134,MRI is an established imaging technique for AD diagnosis and progression tracking.
AmyloidPET,AmyloidPlaques,DETECTS,pubmed_26921134;wikipedia_amyloid_beta,Amyloid PET imaging visualizes brain amyloid plaque burden in vivo.
TauPET,NFT,DETECTS,pubmed_26921134,Tau PET imaging visualizes neurofibrillary tangle burden and aids differential diagnosis.
FluidBiomarkers,AmyloidBeta,MEASURES,pubmed_26921134,CSF amyloid-beta42 is an established core fluid biomarker for AD.
FluidBiomarkers,TauProtein,MEASURES,pubmed_26921134,CSF tau is an established core fluid biomarker for AD.
FluidBiomarkers,AD,BIOMARKER_FOR,pubmed_34456336,Amyloid-beta pathway biomarkers underpin modern biological definitions of AD.
FluidBiomarkers,MCI,DIAGNOSTIC_FOR,pubmed_38849944,A low plasma Abeta42/40 ratio strongly supported AD diagnosis in an MCI/early-dementia trial cohort.
MRIAtrophy,MCI,DETECTS_PROGRESSION_IN,wikipedia_mild_cognitive_impairment,MRI can track progressive gray-matter loss as MCI converts toward full AD dementia.
AmyloidCascadeHypothesis,AD,EXPLAINS,pubmed_36911732,The amyloid cascade hypothesis has long been the leading model of AD pathogenesis.
Neuroinflammation,AmyloidCascadeHypothesis,CHALLENGES,pubmed_36911732,Evidence for neuroinflammation's independent role has weakened the pure amyloid-centric model.
Microglia,Neuroinflammation,MEDIATES,pubmed_36911732,Microglia-mediated responses are the primary drivers of AD-associated neuroinflammation.
Microglia,AmyloidBeta,INTERACTS_WITH,pubmed_36911732,Microglia physically interact with amyloid-beta deposits as part of the innate immune response.
Microglia,TauProtein,INTERACTS_WITH,pubmed_36911732,"Microglia also interact with tau pathology, influencing its spread and clearance."
Neuroinflammation,AD,CONTRIBUTES_TO,pubmed_36911732,Elevated inflammatory markers and innate-immune AD risk genes point to neuroinflammation as a core disease driver.
SynapticDysfunction,AD,CENTRAL_TO,pubmed_33986301,Loss of synaptic homeostasis is framed as central to AD's biological definition.
AmyloidBeta,SynapticDysfunction,CAUSES,pubmed_31753135,Amyloid-beta accumulation contributes to synaptic strength reduction and synapse loss.
TauProtein,SynapticDysfunction,CAUSES,pubmed_31753135,Hyperphosphorylated tau aggregation contributes to synaptic strength reduction and synapse loss.
SynapticDysfunction,CognitiveDecline,LEADS_TO,pubmed_33986301,Progressive synaptic loss underlies the cognitive decline seen across AD stages.
MemoryLoss,AD,EARLY_SYMPTOM_OF,wikipedia_alzheimers_disease,Short-term memory loss is typically the most noticeable early AD symptom.
CognitiveDecline,AD,SYMPTOM_OF,pubmed_31753135,Progressive cognitive and functional decline defines the clinical course of AD.
GlutamateExcitotoxicity,AD,CONTRIBUTES_TO,wikipedia_memantine,Glutamatergic excitotoxicity is hypothesized to contribute to AD's etiology.
NMDAReceptor,GlutamateExcitotoxicity,OVERSTIMULATED_IN,pubmed_12672860,Pathological NMDA receptor overstimulation by glutamate drives excitotoxic neurodegeneration.
Memantine,NMDAReceptor,ANTAGONIST_OF,pubmed_12672860;wikipedia_memantine,Memantine is an uncompetitive NMDA receptor antagonist.
Memantine,AD,TREATS,pubmed_12672860,A placebo-controlled trial found memantine reduced clinical deterioration in moderate-to-severe AD.
CholinesteraseInhibitors,Acetylcholine,INCREASES,wikipedia_cholinesterase_inhibitor,"Cholinesterase inhibitors block acetylcholine breakdown, raising synaptic acetylcholine levels."
CholinesteraseInhibitors,AD,TREATS,pubmed_33035532,Cholinesterase inhibitors are the main class of drugs used for symptomatic AD treatment.
Donepezil,CholinesteraseInhibitors,MEMBER_OF_CLASS,pubmed_33035532;wikipedia_cholinesterase_inhibitor,Donepezil is one of the three cholinesterase inhibitors currently on the market for AD.
Rivastigmine,CholinesteraseInhibitors,MEMBER_OF_CLASS,pubmed_33035532;wikipedia_cholinesterase_inhibitor,Rivastigmine is one of the three cholinesterase inhibitors currently on the market for AD.
Galantamine,CholinesteraseInhibitors,MEMBER_OF_CLASS,pubmed_33035532;wikipedia_cholinesterase_inhibitor,Galantamine is one of the three cholinesterase inhibitors currently on the market for AD.
Tacrine,CholinesteraseInhibitors,MEMBER_OF_CLASS,pubmed_33035532,Tacrine was the first licensed cholinesterase inhibitor for AD.
Tacrine,Hepatotoxicity,DISCONTINUED_DUE_TO,pubmed_33035532,Tacrine was withdrawn from clinical use because of hepatotoxicity.
Donepezil,MCI,MINOR_BENEFIT_FOR,wikipedia_mild_cognitive_impairment,"Donepezil showed only minor, short-term cognitive benefit in MCI trials, with notable side effects."
Rivastigmine,MCI,NO_BENEFIT_FOR,wikipedia_mild_cognitive_impairment,Rivastigmine failed to slow progression from MCI to AD in trials.
AntiAmyloidAntibodies,AmyloidPlaques,REDUCES,pubmed_37955845,Anti-amyloid antibodies produce a marked reduction in total brain amyloid burden on PET.
AntiAmyloidAntibodies,CognitiveDecline,SLOWS,pubmed_37955845,Anti-amyloid antibody trials achieved roughly a 30% slowing of cognitive decline.
Lecanemab,AntiAmyloidAntibodies,MEMBER_OF_CLASS,pubmed_37955845,Lecanemab is one of the anti-amyloid monoclonal antibodies approved for early AD.
Aducanumab,AntiAmyloidAntibodies,MEMBER_OF_CLASS,pubmed_37955845,Aducanumab is one of the anti-amyloid monoclonal antibodies approved for early AD.
Lecanemab,AD,TREATS,wikipedia_lecanemab,Lecanemab received full FDA approval in 2023 for treating early Alzheimer's disease.
Aducanumab,AD,TREATS,pubmed_37955845,Aducanumab received accelerated FDA approval for treating early Alzheimer's disease.
Lecanemab,ARIA,CAUSES,wikipedia_lecanemab,Lecanemab treatment can cause amyloid-related imaging abnormalities (brain edema or microhemorrhage).
ARIA,AntiAmyloidAntibodies,SIDE_EFFECT_OF,pubmed_37955845,ARIA monitoring via MRI is a standard safety requirement across anti-amyloid antibody therapies.
CaregiverBurden,AD,RESULTS_FROM,pubmed_37972428,Indirect caregiving costs are the largest single contributor to AD's societal cost.
EconomicBurden,AD,RESULTS_FROM,pubmed_37972428,The global cost of AD-related dementia care is projected to reach roughly $2 trillion by 2030.
CaregiverBurden,EconomicBurden,CONTRIBUTES_TO,pubmed_37972428,Indirect caregiving cost is the main driver of AD's overall societal economic burden.
