nodeId:ID,name,type:LABEL,description
GlymphaticSystem,Glymphatic System,Mechanism,"Brain waste-clearance system, most active during sleep; degrades with age"
SleepDisturbance,Sleep Disturbance,RiskFactor,Impaired sleep architecture is a frequent antecedent of dementia onset
SynapticDysfunction,Synaptic Dysfunction / Loss,Mechanism,Loss of synaptic homeostasis central to AD-associated cognitive decline
AmyloidCascadeHypothesis,Amyloid Cascade Hypothesis,Theory,Hypothesis that amyloid-beta accumulation triggers downstream tau pathology and neurodegeneration
NMDAReceptor,NMDA Receptor,MolecularTarget,Glutamate receptor; pathological overstimulation implicated in excitotoxic neurodegeneration
GlutamateExcitotoxicity,Glutamate Excitotoxicity,Mechanism,"Pathological NMDA receptor overstimulation by glutamate, hypothesized to contribute to AD"
Acetylcholine,Acetylcholine,Neurotransmitter,Neurotransmitter reduced in the AD brain; target of cholinesterase inhibitor therapy
CholinesteraseInhibitors,Cholinesterase Inhibitors,DrugClass,Main symptomatic AD drug class; raises synaptic acetylcholine
Donepezil,Donepezil,Drug,Reversible cholinesterase inhibitor used for symptomatic AD treatment
Rivastigmine,Rivastigmine,Drug,Pseudo-irreversible cholinesterase inhibitor used for AD
Galantamine,Galantamine,Drug,"Reversible cholinesterase inhibitor, less well tolerated than donepezil"
Tacrine,Tacrine,Drug,First licensed cholinesterase inhibitor; withdrawn due to hepatotoxicity
Hepatotoxicity,Hepatotoxicity,AdverseEffect,Liver toxicity that led to tacrine's discontinuation
Memantine,Memantine,Drug,NMDA receptor antagonist used for moderate-to-severe AD
AntiAmyloidAntibodies,Anti-Amyloid Monoclonal Antibodies,DrugClass,Disease-modifying antibody class that clears brain amyloid-beta
Lecanemab,Lecanemab,Drug,"FDA-approved (2023) anti-amyloid antibody; slows cognitive decline, can cause ARIA"
Aducanumab,Aducanumab,Drug,FDA accelerated-approval anti-amyloid antibody for early AD
ARIA,Amyloid-Related Imaging Abnormalities (ARIA),AdverseEffect,Brain edema/microhemorrhage side effect of anti-amyloid antibody therapy
FluidBiomarkers,"CSF / Plasma Biomarkers (Abeta42, tau)",Biomarker,Cerebrospinal fluid or plasma amyloid-beta and tau levels used for AD diagnosis
AmyloidPET,Amyloid PET Imaging,Biomarker,In-vivo imaging technique that detects brain amyloid plaque burden
TauPET,Tau PET Imaging,Biomarker,Imaging technique for tau pathology; aids differential diagnosis and trial selection
MRIAtrophy,Structural MRI (atrophy),Biomarker,Detects hippocampal and cortical atrophy for diagnosis and disease tracking
PhysicalActivity,Physical Activity,ProtectiveFactor,Associated with a meaningfully lower risk of AD and all-cause dementia
CardiovascularRisk,Cardiovascular / Vascular Risk Factors,RiskFactor,Hypertension and vascular disease raise dementia and AD risk
AirPollution,Air Pollution (particulate matter),RiskFactor,Fine particulate matter and related pollutants raise dementia and AD risk
Aging,Aging,RiskFactor,The single greatest risk factor for AD and dementia generally
FamilyHistory,Family History / Genetic Predisposition,RiskFactor,A first-degree relative with AD raises personal risk substantially
CaregiverBurden,Caregiver Burden,SocialImpact,Indirect caregiving cost is the main driver of AD's societal cost
EconomicBurden,Economic Burden of AD,SocialImpact,Global dementia care cost is projected to reach roughly $2 trillion by 2030
SexDifferences,Sex / Gender Differences,ModifyingFactor,"Biological sex and gender modify AD risk, pathology burden, and resilience"
MemoryLoss,Memory Loss,Symptom,Short-term memory loss is typically the earliest noticeable AD symptom
CognitiveDecline,Cognitive Decline,Symptom,Progressive decline in cognition and function across AD stages
